name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Bafang Yunji International Company Limited ,2753.TW,Taiwan,Restaurants,370,226,66
Fukui Computer HoldingsInc. ,9790.TSE,Japan,Application Software,369,97,21
Fujicco Co. Ltd. ,2908.TSE,Japan,Packaged Foods and Meats,368,378,29
Machvision Inc. ,3563.TW,Taiwan,Semiconductor Materials and Equipment,368,66,58
Standard Chemical & Pharmaceutical Co. Ltd. ,1720.TW,Taiwan,Pharmaceuticals,367,197,179
TRANSACTION CO.Ltd. ,7818.TSE,Japan,Household Products,366,160,29
Integrated Design & Engineering HoldingsCo.Ltd. ,9161.TSE,Japan,Construction and Engineering,365,979,15
United Arrows Ltd. ,7606.TSE,Japan,Apparel Retail,365,917,28
Lion Travel Service Co. Ltd. ,2731.TW,Taiwan,Hotels Resorts and Cruise Lines,365,357,93
YungShin Global Holding Corporation ,3705.TW,Taiwan,Pharmaceuticals,364,217,266
Binggrae Co. Ltd. ,005180.KO,South Korea,Packaged Foods and Meats,364,1010,9
Metaage Corporation ,6112.TW,Taiwan,IT Consulting and Other Services,363,425,188
Transcom Inc. ,5222.TW,Taiwan,Semiconductors,362,36,75
BioNote Inc. ,377740.KO,South Korea,Biotechnology,362,100,102
KG Chemical Corporation ,001390.KO,South Korea,Fertilizers and Agricultural Chemicals,361,6401,69
Genomictree Inc. ,228760.KQ,South Korea,Biotechnology,361,4,24
Software Service Inc. ,3733.TSE,Japan,Health Care Technology,361,239,5
91App Inc. ,6741.TWO,Taiwan,Application Software,361,43,118
Gamania Digital Entertainment Co. Ltd. ,6180.TWO,Taiwan,Interactive Home Entertainment,360,343,176
The Chiba Kogyo Bank Ltd. ,8337.TSE,Japan,Regional Banks,360,350,59
Koramco Energy Plus Reit ,357120.KO,South Korea,Other Specialized REITs,359,54,89
Etron Technology Inc. ,5351.TWO,Taiwan,Semiconductors,359,95,288
Sinko Industries Ltd. ,6458.TSE,Japan,Building Products,359,323,25
Daiki Aluminium Industry Co. Ltd. ,5702.TSE,Japan,Aluminum,358,1823,41
Matsuya Co. Ltd. ,8237.TSE,Japan,Broadline Retail,358,258,53
Kolmar BNH Co. Ltd. ,200130.KQ,South Korea,Personal Care Products,358,427,29
YAKUODO HOLDINGS Co. Ltd. ,7679.TSE,Japan,Drug Retail,358,942,20
Lanner Electronics Inc. ,6245.TWO,Taiwan,Communications Equipment,357,324,126
Devsisters corporation ,194480.KQ,South Korea,Interactive Home Entertainment,357,144,11
Okinawa Financial Group Inc. ,7350.TSE,Japan,Regional Banks,357,281,21
Osaka Organic Chemical Industry Ltd. ,4187.TSE,Japan,Diversified Chemicals,356,217,21
MNtech Co. Ltd. ,095500.KQ,South Korea,Commodity Chemicals,355,433,27
MIRARTH HOLDINGSInc. ,8897.TSE,Japan,Real Estate Development,355,1060,110
Taekwang Industrial Co. Ltd. ,003240.KO,South Korea,Commodity Chemicals,354,1852,1
Smaregi Inc. ,4431.TSE,Japan,Application Software,354,43,19
Hyundai Home Shopping Network Corporation ,057050.KO,South Korea,Broadline Retail,353,1569,11
Japan Investment Adviser Co. Ltd. ,7172.TSE,Japan,Specialized Finance,353,100,30
Nihon Nohyaku Co. Ltd. ,4997.TSE,Japan,Fertilizers and Agricultural Chemicals,353,693,78
TSC Auto ID Technology Co. Ltd. ,3611.TWO,Taiwan,Technology Hardware Storage and Peripherals,352,265,47
Value Added Technology Co. Ltd. ,043150.KQ,South Korea,Health Care Equipment,351,300,15
Healthcare & Medical Investment Corporation ,3455.TSE,Japan,Health Care REITs,350,39,0
Nissin Corporation ,9066.TSE,Japan,Marine Ports and Services,350,1255,19
HD Renewable Energy Co. Ltd. ,6873.TW,Taiwan,Renewable Electricity,349,192,100
Espec Corp. ,6859.TSE,Japan,Electronic Equipment and Instruments,349,390,22
K.S. Terminals Inc. ,3003.TW,Taiwan,Electrical Components and Equipment,349,146,156
Midac Holdings Co. Ltd. ,6564.TSE,Japan,Environmental and Facilities Services,348,55,28
Tung Thih Electronic Co. Ltd. ,3552.TWO,Taiwan,Automotive Parts and Equipment,348,301,86
The Yamanashi Chuo BankLtd. ,8360.TSE,Japan,Regional Banks,348,393,30
Tang Eng Iron Works Co. Ltd. ,2035.TWO,Taiwan,Steel,348,395,350
Melco Holdings Inc. ,6676.TSE,Japan,Technology Hardware Storage and Peripherals,348,989,17
Nagano Keiki Co. Ltd. ,7715.TSE,Japan,Electronic Equipment and Instruments,348,437,19
Tenma Corporation ,7958.TSE,Japan,Commodity Chemicals,347,728,22
BenQ Materials Corporation ,8215.TW,Taiwan,Electronic Components,347,512,321
TAI-TECH Advanced Electronics Co. Ltd. ,3357.TWO,Taiwan,Electronic Components,347,151,102
JM Holdings Co.Ltd. ,3539.TSE,Japan,Food Retail,347,1089,27
NAK Sealing Technologies Corporation ,9942.TW,Taiwan,Industrial Machinery and Supplies and Components,346,150,83
Kanto Denka Kogyo Co. Ltd. ,4047.TSE,Japan,Specialty Chemicals,346,530,58
Toa Road Corporation ,1882.TSE,Japan,Construction and Engineering,346,824,10
Ryoden Corporation ,8084.TSE,Japan,Technology Distributors,345,1824,22
CUCKOO Homesys Co. Ltd ,284740.KO,South Korea,Computer and Electronics Retail,344,698,22
Manyo Factory Co. Ltd ,439090.KQ,South Korea,Personal Care Products,344,81,16
Tae Kwang Corporation ,023160.KQ,South Korea,Industrial Machinery and Supplies and Components,343,236,26
Kohoku Kogyo CO.LTD. ,6524.TSE,Japan,Electronic Components,343,102,9
Nakayama Steel Works Ltd. ,5408.TSE,Japan,Steel,343,1301,54
I-ne CO. LTD. ,4933.TSE,Japan,Personal Care Products,343,267,18
SBI Global Asset Management Co. Ltd. ,4765.TSE,Japan,Financial Exchanges and Data,343,64,90
Tosei Reit Investment Corporation ,3451.TSE,Japan,Diversified REITs,343,51,0
ITM Semiconductor Co. Ltd. ,084850.KQ,South Korea,Semiconductors,342,456,21
ALMAC Co. Ltd. ,354320.KQ,South Korea,Automotive Parts and Equipment,342,167,6
Altech Corporation ,4641.TSE,Japan,Human Resource and Employment Services,342,316,20
MCNEX Co. Ltd ,097520.KO,South Korea,Electronic Components,341,736,18
Torishima Pump Mfg. Co. Ltd. ,6363.TSE,Japan,Industrial Machinery and Supplies and Components,341,491,27
PlayNitride Inc. ,6854.TW,Taiwan,Semiconductors,340,18,107
Eiken Chemical Co. Ltd. ,4549.TSE,Japan,Health Care Supplies,339,291,37
Kpp Group Holdings Co. Ltd. ,9274.TSE,Japan,Trading Companies and Distributors,339,4603,72
Nippon Carbon Co. Ltd. ,5302.TSE,Japan,Electrical Components and Equipment,339,246,11
Foresee Pharmaceuticals Co. Ltd. ,6576.TWO,Taiwan,Pharmaceuticals,339,3,136
Warabeya Nichiyo Holdings Co. Ltd. ,2918.TSE,Japan,Packaged Foods and Meats,338,1409,18
SFP Holdings Co. Ltd. ,3198.TSE,Japan,Restaurants,338,182,23
Taisun Enterprise Co. Ltd. ,1218.TW,Taiwan,Packaged Foods and Meats,338,354,486
Teikoku Sen-i Co. Ltd. ,3302.TSE,Japan,Industrial Machinery and Supplies and Components,338,214,26
Hwaseung Enterprise Co. Ltd. ,241590.KO,South Korea,Footwear,337,1103,61
Lifedrink Company Inc. ,2585.TSE,Japan,Soft Drinks and Non-alcoholic Beverages,337,228,13
The Miyazaki Bank Ltd. ,8393.TSE,Japan,Regional Banks,337,377,17
TSE Co. Ltd ,131290.KQ,South Korea,Semiconductor Materials and Equipment,337,207,11
Sumida Corporation ,6817.TSE,Japan,Electronic Components,336,1035,33
Shinsung E&G Co.Ltd. ,011930.KO,South Korea,Semiconductor Materials and Equipment,335,477,204
Interojo Inc. ,119610.KQ,South Korea,Health Care Supplies,335,101,13
Da-Cin Construction Co.Ltd. ,2535.TW,Taiwan,Construction and Engineering,335,501,325
JFE Systems Inc. ,4832.TSE,Japan,IT Consulting and Other Services,334,402,16
Aiphone Co.Ltd. ,6718.TSE,Japan,Communications Equipment,334,385,16
San ju San Financial GroupInc. ,7322.TSE,Japan,Regional Banks,333,445,26
Worldex Industry & Trading Co. Ltd. ,101160.KQ,South Korea,Semiconductors,333,228,17
Anicom Holdings Inc. ,8715.TSE,Japan,Property and Casualty Insurance,332,397,80
SALA Corporation ,2734.TSE,Japan,Oil and Gas Refining and Marketing,332,1736,64
Acer E-Enabling Service Business Inc. ,6811.TWO,Taiwan,IT Consulting and Other Services,332,242,41
UTI Inc. ,179900.KQ,South Korea,Electronic Components,330,18,16
Sunmax Biotechnology Co. Ltd. ,4728.TWO,Taiwan,Biotechnology,330,50,55
Miroku Jyoho Service Co. Ltd. ,9928.TSE,Japan,Application Software,330,292,30
Bank of The Ryukyus Limited ,8399.TSE,Japan,Regional Banks,329,418,42
PSK HOLDINGS Inc. ,031980.KQ,South Korea,Semiconductor Materials and Equipment,329,66,20
KG Eco Technology Services Co. Ltd. ,151860.KQ,South Korea,Independent Power Producers and Energy Traders,328,5084,36
Amazing Microelectronic Corp. ,6411.TWO,Taiwan,Semiconductors,328,73,98
Core Concept Technologies Inc. ,4371.TSE,Japan,IT Consulting and Other Services,328,96,17
ABEJA Inc. ,5574.TSE,Japan,Application Software,328,14,9
T-Robotics.Co.Ltd. ,117730.KQ,South Korea,Industrial Machinery and Supplies and Components,328,30,17
T3EX Global Holdings Corp. ,2636.TW,Taiwan,Air Freight and Logistics,328,541,137
Proto Corporation ,4298.TSE,Japan,Publishing,327,754,40
Darwin Precisions Corporation ,6120.TW,Taiwan,Semiconductors,327,441,666
Wysiwyg Studios Co. Ltd. ,299900.KQ,South Korea,Movies and Entertainment,326,169,171
San Fang Chemical Industry Co. Ltd. ,1307.TW,Taiwan,Commodity Chemicals,325,332,398
Mars Group Holdings Corporation ,6419.TSE,Japan,Leisure Products,325,175,17
JLKInc. ,322510.KQ,South Korea,Health Care Technology,324,3,16
Management Solutions co.Ltd. ,7033.TSE,Japan,Research and Consulting Services,324,112,17
Keiyo Co. Ltd. ,8168.TSE,Japan,Home Improvement Retail,324,681,58
BRIM Biotechnology Inc. ,6885.TWO,Taiwan,Biotechnology,324,-,138
Eslead Corporation ,8877.TSE,Japan,Homebuilding,321,565,15
Lealea Enterprise Co. Ltd. ,1444.TW,Taiwan,Textiles,321,324,984
Shinyoung Securities Co. Ltd. ,001720.KO,South Korea,Investment Banking and Brokerage,320,1094,8
Pharmosa Biopharm Inc. ,6875.TWO,Taiwan,Biotechnology,320,-,117
Kukdo Chemical Co. Ltd. ,007690.KO,South Korea,Commodity Chemicals,320,1089,8
SRE Holdings Corporation ,2980.TSE,Japan,Diversified Real Estate Activities,320,138,16
Genki Sushi Co. Ltd. ,9828.TSE,Japan,Restaurants,320,394,9
Alltop Technology Co. Ltd. ,3526.TWO,Taiwan,Electronic Components,319,70,59
Power Wind Health Industry Incorporated ,8462.TW,Taiwan,Leisure Facilities,318,125,79
The Bank of Iwate Ltd. ,8345.TSE,Japan,Regional Banks,318,311,17
Globeride Inc. ,7990.TSE,Japan,Leisure Products,318,911,23
LX Hausys Ltd. ,108670.KO,South Korea,Building Products,318,2718,10
Lumosa Therapeutics Co. Ltd. ,6535.TWO,Taiwan,Pharmaceuticals,316,1,163
Gaonchips Co. Ltd. ,399720.KQ,South Korea,Semiconductors,315,37,12
BuySell Technologies Co.Ltd. ,7685.TSE,Japan,Broadline Retail,315,264,15
StemRIM ,4599.TSE,Japan,Biotechnology,314,17,61
Trade-Van Information Services Co. ,6183.TW,Taiwan,Internet Services and Infrastructure,314,70,150
Partron Co. Ltd. ,091700.KQ,South Korea,Electronic Components,314,862,54
Formosan Union Chemical Corp. ,1709.TW,Taiwan,Commodity Chemicals,313,317,477
Teikoku Electric Mfg.Co.Ltd. ,6333.TSE,Japan,Industrial Machinery and Supplies and Components,313,203,18
A&D HOLON Holdings Company Limited ,7745.TSE,Japan,Electronic Equipment and Instruments,313,418,28
Sankyo Frontier Co.Ltd. ,9639.TSE,Japan,Diversified Real Estate Activities,313,351,11
eREX Co.Ltd. ,9517.TSE,Japan,Renewable Electricity,313,2030,59
I-Chiun Precision Industry Co. Ltd. ,2486.TW,Taiwan,Electronic Components,312,152,218
Asahi Diamond Industrial Co. Ltd. ,6140.TSE,Japan,Industrial Machinery and Supplies and Components,312,268,52
Central Security Patrols Co. Ltd. ,9740.TSE,Japan,Security and Alarm Services,312,475,15
Promate Electronic Co.Ltd. ,6189.TW,Taiwan,Technology Distributors,311,820,212
Sinfonia Technology Co.Ltd. ,6507.TSE,Japan,Heavy Electrical Equipment,311,746,28
CRE Inc. ,3458.TSE,Japan,Diversified Real Estate Activities,311,367,29
Yungjin Pharm. Co. Ltd. ,003520.KO,South Korea,Pharmaceuticals,310,171,183
KOIKE-YA Inc. ,2226.TSE,Japan,Packaged Foods and Meats,310,327,5
Fubon No.2 Real Estate Investment Trust (01004.TW),01004.TW,Taiwan,Office REITs,310,17,730
Vaxcell-Bio Therapeutics Co. Ltd. ,323990.KQ,South Korea,Biotechnology,310,-,15
Taiwan Speciality Chemicals Corporation ,4772.TWO,Taiwan,Specialty Chemicals,310,14,138
Songwon Industrial Co. Ltd. ,004430.KO,South Korea,Specialty Chemicals,310,900,24
Riken Technos Corporation ,4220.TSE,Japan,Commodity Chemicals,309,864,63
J&V Energy Technology Co. Ltd. ,6869.TW,Taiwan,Renewable Electricity,309,234,116
TEMC Co. Ltd. ,425040.KQ,South Korea,Semiconductor Materials and Equipment,308,283,11
Tamura Corporation ,6768.TSE,Japan,Electronic Components,307,751,82
Ve Wong Corporation ,1203.TW,Taiwan,Packaged Foods and Meats,307,210,238
Nittoku Co.Ltd. ,6145.TSE,Japan,Industrial Machinery and Supplies and Components,305,202,18
Shibaura Electronics Co.Ltd. ,6957.TSE,Japan,Electronic Components,305,229,8
Sung Kwang Bend Co.Ltd. ,014620.KQ,South Korea,Building Products,302,201,28
Taiwan Sanyo Electric Co.Ltd. ,1614.TW,Taiwan,Household Appliances,302,192,259
Advanced Power Electronics Co. Ltd. ,8261.TW,Taiwan,Semiconductors,302,96,118
BioPlus Co. Ltd. ,099430.KQ,South Korea,Health Care Supplies,302,47,58
Motrex Co. Ltd ,118990.KQ,South Korea,Automotive Parts and Equipment,302,470,24
Neuromeka Co.Ltd. ,348340.KQ,South Korea,Industrial Machinery and Supplies and Components,302,7,10
Tanseisha Co. Ltd. ,9743.TSE,Japan,Research and Consulting Services,302,503,48
UNID Company Ltd. ,014830.KO,South Korea,Commodity Chemicals,302,1044,7
CellSource Co. Ltd. ,4880.TSE,Japan,Life Sciences Tools and Services,301,34,19
Medikit Co.Ltd. ,7749.TSE,Japan,Health Care Equipment,301,151,17
Pharma Foods International Co. Ltd. ,2929.TSE,Japan,Biotechnology,300,482,29
Pulmuone Corporate ,017810.KO,South Korea,Packaged Foods and Meats,299,2253,37
The Oita Bank Ltd. ,8392.TSE,Japan,Regional Banks,299,488,16
Seikagaku Corporation ,4548.TSE,Japan,Pharmaceuticals,298,241,55
SB Technology Corp. ,4726.TSE,Japan,IT Consulting and Other Services,298,468,20
Xebio Holdings Co. Ltd. ,8281.TSE,Japan,Other Specialty Retail,297,1661,44
JBCC Holdings Inc. ,9889.TSE,Japan,IT Consulting and Other Services,297,419,16
JETEMA Co. Ltd. ,216080.KQ,South Korea,Pharmaceuticals,296,38,18
France Bed Holdings Co.Ltd. ,7840.TSE,Japan,Health Care Services,295,407,36
Capital Futures Corporation ,6024.TW,Taiwan,Investment Banking and Brokerage,295,74,210
The Shikoku Bank Ltd. ,8387.TSE,Japan,Regional Banks,295,376,42
Gus Technology Co. Ltd. ,6940.TWO,Taiwan,Electrical Components and Equipment,293,1,214
SOCAR Inc. ,403550.KO,South Korea,Passenger Ground Transportation,293,325,33
Oriental Shiraishi Corporation ,1786.TSE,Japan,Construction and Engineering,293,446,133
Can Do Co. Ltd. ,2698.TSE,Japan,Broadline Retail,292,551,16
SOLiD Inc. ,050890.KQ,South Korea,Communications Equipment,292,251,61
Marvelous Inc. ,7844.TSE,Japan,Interactive Home Entertainment,292,186,61
Flytech Technology Co. Ltd. ,6206.TW,Taiwan,Electronic Equipment and Instruments,292,131,143
Furuno Electric Co. Ltd. ,6814.TSE,Japan,Electronic Equipment and Instruments,291,673,32
Senao International Co.Ltd. ,2450.TW,Taiwan,Computer and Electronics Retail,291,1007,258
JAMCO Corporation ,7408.TSE,Japan,Aerospace and Defense,291,379,27
DRTECH Corporation ,214680.KQ,South Korea,Health Care Equipment,291,72,72
Webzen Inc. ,069080.KQ,South Korea,Interactive Home Entertainment,291,143,30
Genesys Logic Inc. ,6104.TWO,Taiwan,Semiconductors,290,74,90
G-SHANK Enterprise Co. Ltd. ,2476.TW,Taiwan,Industrial Machinery and Supplies and Components,290,207,191
Safie Inc. ,4375.TSE,Japan,Application Software,290,70,55
World Holdings Co. Ltd. ,2429.TSE,Japan,Human Resource and Employment Services,290,1300,18
SeAH Steel Corporation ,306200.KO,South Korea,Steel,290,1422,3
Key Coffee Inc. ,2594.TSE,Japan,Packaged Foods and Meats,289,466,21
Komipharm International Co. Ltd. ,041960.KQ,South Korea,Pharmaceuticals,289,32,70
Asia Cement Co.Ltd. ,183190.KO,South Korea,Construction Materials,289,883,39
FSP Technology Inc. ,3015.TW,Taiwan,Electrical Components and Equipment,289,472,187
INTEKPLUS Co. Ltd. ,064290.KQ,South Korea,Semiconductor Materials and Equipment,288,66,12
TATSUTA Electric Wire and Cable Co. Ltd. ,5809.TSE,Japan,Electrical Components and Equipment,288,430,62
Analog Integrations Corporation ,6291.TWO,Taiwan,Semiconductors,288,52,42
Tosho Co. Ltd. ,8920.TSE,Japan,Leisure Facilities,288,162,38
Kyokuyo Co. Ltd. ,1301.TSE,Japan,Packaged Foods and Meats,288,1862,11
Cheryong Electric Co.Ltd. ,033100.KQ,South Korea,Electrical Components and Equipment,288,106,16
Rock Field Co.Ltd. ,2910.TSE,Japan,Restaurants,287,354,27
Openedges Technology Inc. ,394280.KQ,South Korea,Semiconductors,287,5,21
IwaiCosmo Holdings Inc. ,8707.TSE,Japan,Investment Banking and Brokerage,287,142,24
Altek Corporation ,3059.TW,Taiwan,Consumer Electronics,287,378,277
Heung-A Shipping Co.Ltd. ,003280.KO,South Korea,Marine Transportation,286,144,240
Samsung FN REIT Co. Ltd. ,448730.KO,South Korea,Office REITs,286,27,77
Thye Ming Industrial Co. Ltd. ,9927.TW,Taiwan,Diversified Metals and Mining,286,273,167
MINISTOP Co. Ltd. ,9946.TSE,Japan,Food Retail,285,574,29
SANKEI REAL ESTATE Inc. ,2972.TSE,Japan,Office REITs,285,43,1
Tanaka Chemical Corporation ,4080.TSE,Japan,Specialty Chemicals,284,384,33
Korea Asset In Trust Co. Ltd ,123890.KO,South Korea,Diversified REITs,284,175,122
Sunrex Technology Corporation ,2387.TW,Taiwan,Technology Hardware Storage and Peripherals,283,761,193
Tsuzuki Denki Co. Ltd. ,8157.TSE,Japan,Technology Distributors,283,881,18
AIT Corporation ,9381.TSE,Japan,Air Freight and Logistics,283,468,24
EuBiologics Co. Ltd. ,206650.KQ,South Korea,Biotechnology,283,47,36
Nepes Corporation ,033640.KQ,South Korea,Semiconductors,283,406,23
PSS Co.Ltd. ,6914.TWO,Taiwan,Electronic Equipment and Instruments,283,123,60
Koatsu Gas Kogyo Co. Ltd. ,4097.TSE,Japan,Industrial Gases,282,638,55
baudroieinc. ,4413.TSE,Japan,IT Consulting and Other Services,282,42,8
giftee Inc. ,4449.TSE,Japan,Interactive Media and Services,282,42,29
Aucnet Inc. ,3964.TSE,Japan,Specialized Consumer Services,281,289,24
Fujibo Holdings Inc. ,3104.TSE,Japan,Textiles,281,253,12
ESCON JAPAN REIT Investment Corporation ,2971.TSE,Japan,Diversified REITs,279,39,0
Kedge Construction Co. Ltd. ,2546.TW,Taiwan,Construction and Engineering,279,527,121
Cota Co. Ltd. ,4923.TSE,Japan,Personal Care Products,279,62,26
Roland DG Corporation ,6789.TSE,Japan,Technology Hardware Storage and Peripherals,278,360,12
Microelectronics Technology Inc. ,2314.TW,Taiwan,Communications Equipment,278,153,238
KINX Inc. ,093320.KQ,South Korea,Alternative Carriers,278,89,5
Cosel Co. Ltd. ,6905.TSE,Japan,Electrical Components and Equipment,278,262,33
Mercury Biopharmaceutical Corporation ,6932.TWO,Taiwan,Pharmaceuticals,278,0,416
POSCO STEELEON Co. Ltd. ,058430.KO,South Korea,Steel,277,819,6
Marudai Food Co. Ltd. ,2288.TSE,Japan,Packaged Foods and Meats,277,1548,25
CHUNGTAI RESOURCE Technology CORP. ,6923.TWO,Taiwan,Environmental and Facilities Services,277,34,83
Alar Pharmaceuticals Inc. ,6785.TWO,Taiwan,Pharmaceuticals,277,0,57
Humedix Co. Ltd. ,200670.KQ,South Korea,Pharmaceuticals,277,107,10
Swancor Holding Co. LTD. ,3708.TW,Taiwan,Specialty Chemicals,277,259,98
Biodyne Co. Ltd. ,314930.KQ,South Korea,Health Care Equipment,276,9,6
ALCONIX Corporation ,3036.TSE,Japan,Trading Companies and Distributors,276,1203,30
Tokushu Tokai Paper Co. Ltd. ,3708.TSE,Japan,Paper Products,276,578,12
Toyo Engineering Corporation ,6330.TSE,Japan,Construction and Engineering,275,1394,59
Hong Pu Real Estate Development Co. Ltd. ,2536.TW,Taiwan,Real Estate Development,275,8,333
Winmate Inc. ,3416.TW,Taiwan,Electronic Components,274,89,77
SanBio Company Limited ,4592.TSE,Japan,Biotechnology,274,-,65
Nova Technology Corporation ,6613.TWO,Taiwan,Industrial Machinery and Supplies and Components,274,292,69
Korea Circuit Co. Ltd. ,007810.KO,South Korea,Electronic Components,274,1107,27
Hua Eng Wire & Cable Co. Ltd. ,1608.TW,Taiwan,Electrical Components and Equipment,274,320,424
Hy-Lok Corporation ,013030.KQ,South Korea,Industrial Machinery and Supplies and Components,274,146,14
Fukuda Corporation ,1899.TSE,Japan,Construction and Engineering,273,1070,9
Panion & Bf Biotech Inc. ,1760.TW,Taiwan,Pharmaceuticals,273,64,86
Tomoku Co. Ltd. ,3946.TSE,Japan,Paper and Plastic Packaging Products and Materials,273,1468,16
Ever Fortune.AI Co. Ltd. ,6841.TWO,Taiwan,Health Care Technology,271,2,89
COWINTECH Co. Ltd. ,282880.KQ,South Korea,Industrial Machinery and Supplies and Components,271,198,10
Fuji Corporation ,7605.TSE,Japan,Automotive Retail,271,321,20
FURYU Corporation ,6238.TSE,Japan,Leisure Products,271,264,26
Sun Corporation ,6736.TSE,Japan,Technology Hardware Storage and Peripherals,270,209,22
Taiwan Puritic Corp. ,6826.TWO,Taiwan,Semiconductor Materials and Equipment,270,494,61
Yondoshi Holdings Inc. ,8008.TSE,Japan,Apparel Accessories and Luxury Goods,270,285,21
CMK Corporation ,6958.TSE,Japan,Electronic Components,269,589,59
Hanwha REIT Co. Ltd. ,451800.KO,South Korea,Office REITs,268,25,71
Sagami Holdings Corporation ,9900.TSE,Japan,Restaurants,268,189,30
B-R 31 Ice Cream Co.Ltd. ,2268.TSE,Japan,Restaurants,267,161,10
Bushiroad Inc. ,7803.TSE,Japan,Movies and Entertainment,267,338,71
Elite Advanced Laser Corporation ,3450.TW,Taiwan,Semiconductors,267,188,146
STX Engine Co.Ltd. ,077970.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,267,461,28
Hiyes International Co. Ltd. ,2348.TW,Taiwan,Real Estate Services,266,153,116
Hagiwara Electric Holdings Co. Ltd. ,7467.TSE,Japan,Technology Distributors,266,1361,10
Shinko Shoji Co. Ltd. ,8141.TSE,Japan,Technology Distributors,265,1267,33
Murakami Corporation ,7292.TSE,Japan,Automotive Parts and Equipment,265,651,12
P.S. Mitsubishi Construction Co. Ltd. ,1871.TSE,Japan,Construction and Engineering,265,786,46
FTGroup Co. Ltd. ,2763.TSE,Japan,Technology Distributors,265,272,31
Jiu Han System Technology Co. Ltd. ,6903.TWO,Taiwan,Construction and Engineering,264,114,61
Business Engineering Corporation ,4828.TSE,Japan,IT Consulting and Other Services,264,130,12
Quick Co.Ltd. ,4318.TSE,Japan,Human Resource and Employment Services,264,195,19
Sanyo Trading Co. Ltd. ,3176.TSE,Japan,Trading Companies and Distributors,264,854,29
Hoosiers Holdings Co. Ltd. ,3284.TSE,Japan,Homebuilding,264,604,36
Kohsoku Corporation ,7504.TSE,Japan,Paper and Plastic Packaging Products and Materials,263,699,19
Taiwan Fire & Marine Insurance Co. Ltd. ,2832.TW,Taiwan,Property and Casualty Insurance,263,203,362
I-Sheng Electric Wire & Cable Co. Ltd. ,6115.TW,Taiwan,Electrical Components and Equipment,262,213,188
Mega Union Technology Inc. ,6944.TWO,Taiwan,Industrial Machinery and Supplies and Components,262,309,61
Hsin Yung Chien Co. Ltd. ,2114.TW,Taiwan,Industrial Machinery and Supplies and Components,262,52,78
Namhae Chemical Corporation ,025860.KO,South Korea,Fertilizers and Agricultural Chemicals,262,1383,48
TES Co. Ltd ,095610.KQ,South Korea,Semiconductor Materials and Equipment,262,198,18
Nagatanien Holdings Co.Ltd. ,2899.TSE,Japan,Packaged Foods and Meats,261,785,18
Nitto Kohki Co. Ltd. ,6151.TSE,Japan,Industrial Machinery and Supplies and Components,261,197,20
Korea Ratings Co. Ltd. ,034950.KQ,South Korea,Financial Exchanges and Data,261,73,5
Ho Tung Chemical Corp. ,1714.TW,Taiwan,Commodity Chemicals,261,701,1007
Keding Enterprises Co. Ltd. ,6655.TW,Taiwan,Forest Products,261,78,70
E-Life Corporation ,6281.TW,Taiwan,Computer and Electronics Retail,260,673,99
Advan Group Co. Ltd. ,7463.TSE,Japan,Trading Companies and Distributors,260,146,37
istyle Inc. ,3660.TSE,Japan,Other Specialty Retail,260,297,77
Curiox Biosystems Co. Ltd ,445680.KQ,South Korea,Life Sciences Tools and Services,260,7,8
First Hi-tec Enterprise Co. Ltd. ,5439.TWO,Taiwan,Electronic Components,260,122,93
Ampoc Far-East Co. Ltd. ,2493.TW,Taiwan,Semiconductors,259,106,114
Kanagawa Chuo Kotsu Co. Ltd. ,9081.TSE,Japan,Passenger Ground Transportation,259,737,12
SAMPYO Cement Co. Ltd. ,038500.KQ,South Korea,Construction Materials,259,616,107
Inforich Inc. ,9338.TSE,Japan,Specialized Consumer Services,259,33,9
E-Lead Electronic Co. Ltd. ,2497.TW,Taiwan,Automotive Parts and Equipment,259,116,123
Coremax Corporation ,4739.TW,Taiwan,Specialty Chemicals,259,219,106
Federal Corporation ,2102.TW,Taiwan,Tires and Rubber,258,41,460
Vertex Corporation ,5290.TSE,Japan,Construction Materials,258,267,26
SebitChemCo. Ltd. ,107600.KQ,South Korea,Commodity Chemicals,258,37,5
Aizawa Securities Group Co. Ltd. ,8708.TSE,Japan,Investment Banking and Brokerage,258,97,38
Riso Kyoiku Co. Ltd. ,4714.TSE,Japan,Education Services,257,227,154
Jih Lin Technology Co. Ltd. ,5285.TW,Taiwan,Semiconductor Materials and Equipment,257,177,102
Okuwa Co. Ltd. ,8217.TSE,Japan,Food Retail,257,1794,44
Shofu Inc. ,7979.TSE,Japan,Health Care Supplies,257,220,18
Adaptive Plasma Technology Corp. ,089970.KQ,South Korea,Semiconductor Materials and Equipment,256,33,21
Echomarketing Co.Ltd. ,230360.KQ,South Korea,Broadline Retail,256,270,32
Tfe Inc. ,425420.KQ,South Korea,Semiconductor Materials and Equipment,256,50,11
INSUN Environmental New Technology Co. Ltd. ,060150.KQ,South Korea,Environmental and Facilities Services,256,175,45
FIT Holding Co. Ltd. ,3712.TW,Taiwan,Electronic Equipment and Instruments,256,398,246
Compucase Enterprise Co. Ltd. ,3032.TW,Taiwan,Technology Hardware Storage and Peripherals,256,232,112
Tsutsumi Jewelry Co.Ltd. ,7937.TSE,Japan,Apparel Accessories and Luxury Goods,256,127,16
